"ko","en"
"항공정보","NOTAM (Notice to Airman)"
"항법사","Navigator"
"해양경찰청","National Maritime Police Agency"
"해양수산부","Ministry of Maritime Affairs & Fisheries"
"해외주재관(입법관)","Legislative Attach"
"해임건의","Recommendation for Removal"
"행사의전팀","Protocol Team"
"행정관","Assistant Secretary"
"행정법무담당관","Administrative & Legal Affairs Officer"
"행정법원","Administrative Court"
"행정법제과","Administrative Legislation Division"
"행정부","Administrative Branch / The Administration"
"행정예산분석팀","Administrative Budget Analysis Team"
"행정자치부","Ministry of Government Administration and Home Affairs"
"행정자치위원회","Government Administration and Local Autonomy Committee"
"헌법","Constitution / Constitutional Law"
"헌법","Constitution of the Republic of Korea"
"헌법연구관","Constitutional Research Officers"
"헌법재판소","The Constitutional Court of Korea"
"헌법재판소도서관","Constitutional Court Library"
"헌장","Charter / Constitution"
"헌장개정위원회","Committee on Charter Amendments"
"헌정기념관","National Assembly Memorial Hall"
"헌정기념관","National Assembly Memorial Hall"
"헌정기념관","National Assembly Memorial Hall"
"헝가리(Republic of Hungary)의회","National Assembly"
"혁신관리비서관","Secretary to the President for Innovation Management"
"현역후보","Incumbent Candidate"
"협약","Convention"
"협정","Agreement / Accord"
"형사부","Criminal Panels"
"호","Subparagraph"
"호별방문","Door-to-door Canvassing / House-to-house Canvassing"
"호주 의회 관련 용어","호주(Commonwealth of Australia) : Federal Parliament"
"홀트아동복지회(HCS)","Holt Children's Services"
"홍보담당관","Public Relations Officer"
"홍보수석","Senior Press Secretary to the President"
"환경관리공단(EMC)","Environmental Management Corporation"
"환경노동위원회","Environment and Labor Committee"
"환경부","Ministry of Environment"
"환승여객","Transfer Passenger"
"환전소","Money Exchange Counters"
"회계과","Accounting Division"
"회기","Session"
"회부","Reference (재회부 Re-referring)"
"회원","Member"
"회원","Member"
"회의록","Minutes / Records / Proceedings"
"회장","President"
"회장","President"
"회장","President"
"회장","President"
"후원회","Political Supporters' Group / Financial Support Association (후원회 행사) Fund Raiser (Event)"
"휴회","Recess"
